,user_id,movies_id
0,57dab2ea-976d-5b46-9228-755623be3f44,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
1,a7211d1e-0583-5bf6-b82b-d029cae445ad,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d']"
2,b35f6ea2-68ef-5034-bf68-2903f9c4d45a,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
3,e3fbc40c-e025-56c3-80c6-6e768d07dd52,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
4,7ef53e33-aa45-5cf1-bb6d-9a56f1403d2c,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
5,e7e934db-46a0-593b-b280-539ea1afd0f5,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d']"
6,eca183b4-b470-586e-adbb-0d91f091067c,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
7,f53f92e9-159b-51da-b768-3ba240d36930,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
8,667eca95-7c95-5dae-909e-a7ef85fab924,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5']"
9,78a48a8a-54d6-5e45-8206-ada0e000a1c4,"['17635e4b-2553-5993-8836-c0069c0301e6', 'ca08fe16-a177-5b34-a1c2-9a2e0848af7f', 'c602311f-1c7f-58e6-a96e-63369f721677', '021af813-036d-52e5-be86-47f3b337f86d', 'ed3ec42e-c6b0-57ef-ad57-fc20239ec66a', '230e39fe-5da0-58db-8a19-56f5c2e713c8', '8b85ca73-6149-594f-90ee-83e1ec0f2ca4', 'efd4113a-036f-5c0a-9c74-0aaebed7b7d5', '37e22d07-5c6b-5638-b272-18579d3b3610', 'a4d87cfc-9f59-5ad5-a148-114065d8f24d']"
